Chr	Start	Stop	Bin_Count	Genes	InCapture
chr22	42479123	42480282	116	C22orf32	0
chr22	42481530	42482309	78	NDUFA6	1
chr22	42483064	42483173	11	NDUFA6	1
chr22	42486610	42486879	27	NDUFA6	1
chr22	42486937	42487176	24	LOC100132273	1
chr22	42487301	42487600	30	LOC100132273	0
chr22	42488123	42488232	11	LOC100132273	0
chr22	42520052	42520561	51	LOC100132273	0
chr22	42520880	42521349	47	LOC100132273	0
chr22	42522501	42522750	25	CYP2D6	0
chr22	42522853	42522992	14	CYP2D6	0
chr22	42523449	42523628	18	CYP2D6	0
chr22	42523844	42523983	14	CYP2D6	1
chr22	42524176	42524345	17	CYP2D6	0
chr22	42524786	42524945	16	CYP2D6	0
chr22	42525035	42525184	15	CYP2D6	1
chr22	42525740	42525909	17	CYP2D6	1
chr22	42526614	42526883	27	CYP2D6	0
chr22	42536214	42536463	25	CYP2D7P1	1
chr22	42536566	42536705	14	CYP2D7P1	0
chr22	42537162	42537341	18	CYP2D7P1	0
chr22	42537544	42537683	14	CYP2D7P1	1
chr22	42537878	42538047	17	CYP2D7P1	0
chr22	42538480	42538639	16	CYP2D7P1	0
chr22	42538729	42538878	15	CYP2D7P1	1
chr22	42539411	42539580	17	CYP2D7P1	0
chr22	42540285	42540574	29	CYP2D7P1	0
chr22	42556019	42557358	134	TCF20	1
chr22	42564615	42564734	12	TCF20	1
chr22	42565853	42565902	5	TCF20	1
chr22	42575615	42575704	9	TCF20	1
chr22	42605657	42611436	578	TCF20	1
chr22	42665759	42666028	27	LOC388906	0
chr22	42669900	42670859	96	LOC388906	0
chr22	42776414	42781223	481	NFAM1	1
chr22	42782995	42783084	9	NFAM1	1
chr22	42793864	42793953	9	NFAM1	1
chr22	42805441	42805550	11	NFAM1	1
chr22	42807413	42807742	33	NFAM1	1
chr22	42828243	42828392	15	NFAM1	1
chr22	42896585	42896694	11	SERHL	1
chr22	42897631	42897780	15	SERHL	0
chr22	42897925	42898034	11	SERHL	0
chr22	42898357	42898396	4	SERHL	0
chr22	42898755	42898774	2	SERHL	0
chr22	42899205	42899274	7	SERHL	0
chr22	42901039	42901148	11	SERHL	0
chr22	42904341	42909000	466	RRP7A:SERHL	1
chr22	42910112	42910301	19	RRP7A	1
chr22	42910688	42910777	9	RRP7A	0
chr22	42911157	42911266	11	RRP7A	0
chr22	42912017	42912136	12	RRP7A	1
chr22	42914011	42914150	14	RRP7A	1
chr22	42915720	42915829	11	RRP7A	1
chr22	42949925	42950044	12	SERHL2	1
chr22	42950944	42951093	15	SERHL2	0
chr22	42951238	42951347	11	SERHL2	0
chr22	42951670	42951709	4	SERHL2	0
chr22	42952070	42952089	2	SERHL2	0
chr22	42952520	42952589	7	SERHL2	0
chr22	42954354	42954463	11	SERHL2	0
chr22	42956192	42956271	8	SERHL2	1
chr22	42962310	42962339	3	SERHL2	1
chr22	42967127	42967206	8	SERHL2	1
chr22	42968442	42968531	9	SERHL2	1
chr22	42969266	42970815	155	RRP7B:SERHL2	1
chr22	42971937	42972126	19	RRP7B	0
chr22	42972518	42972607	9	RRP7B	0
chr22	42972987	42973096	11	RRP7B	0
chr22	42973850	42973959	11	RRP7B	0
chr22	42976223	42976362	14	RRP7B	0
chr22	42977935	42978014	8	RRP7B	0
chr22	42979727	42981966	224	POLDIP3	1
chr22	42983512	42983571	6	POLDIP3	1
chr22	42987961	42988090	13	POLDIP3	1
chr22	42991543	42991612	7	POLDIP3	1
chr22	42992192	42992371	18	POLDIP3	1
chr22	42995704	42995793	9	POLDIP3	1
chr22	42997976	42998055	8	POLDIP3	1
chr22	42998776	42999165	39	POLDIP3	1
chr22	43010805	43010954	15	POLDIP3	1
chr22	43011251	43011390	14	RNU12	0
chr22	43013846	43015945	210	CYB5R3	1
chr22	43019795	43019894	10	CYB5R3	1
chr22	43023310	43023389	8	CYB5R3	1
chr22	43023611	43023690	8	CYB5R3	1
chr22	43024158	43024287	13	CYB5R3	1
chr22	43026888	43026987	10	CYB5R3	1
chr22	43027384	43027453	7	CYB5R3	1
chr22	43032721	43032850	13	CYB5R3	1
chr22	43035809	43036598	79	ATP5L2	1
chr22	43040396	43040635	24	CYB5R3	1
chr22	43042647	43042986	34	CYB5R3	0
chr22	43045301	43045400	10	CYB5R3	1
chr22	43088127	43089996	187	A4GALT	1
chr22	43091497	43091636	14	A4GALT	0
chr22	43116803	43116872	7	A4GALT	0
chr22	43192532	43193611	108	ARFGAP3	1
chr22	43195045	43195164	12	ARFGAP3	1
chr22	43203079	43203168	9	ARFGAP3	1
chr22	43204773	43204892	12	ARFGAP3	1
chr22	43206819	43206948	13	ARFGAP3	1
chr22	43213148	43213267	12	ARFGAP3	1
chr22	43213735	43213854	12	ARFGAP3	1
chr22	43218276	43218415	14	ARFGAP3	1
chr22	43219662	43219701	4	ARFGAP3	1
chr22	43222946	43223005	6	ARFGAP3	1
chr22	43227555	43227634	8	ARFGAP3	1
chr22	43230248	43230327	8	ARFGAP3	1
chr22	43231368	43231497	13	ARFGAP3	1
chr22	43236950	43237019	7	ARFGAP3	1
chr22	43243520	43243629	11	ARFGAP3	1
chr22	43253120	43253399	28	ARFGAP3	1
chr22	43265772	43267471	170	PACSIN2	1
chr22	43272143	43272332	19	PACSIN2	1
chr22	43272894	43273013	12	PACSIN2	1
chr22	43275054	43275173	12	PACSIN2	1
chr22	43278190	43278309	12	PACSIN2	1
chr22	43280392	43280561	17	PACSIN2	1
chr22	43284649	43284798	15	PACSIN2	1
chr22	43286953	43287182	23	PACSIN2	1
chr22	43289463	43289612	15	PACSIN2	1
chr22	43308027	43308156	13	PACSIN2	1
chr22	43342903	43343042	14	PACSIN2	0
chr22	43355805	43355884	8	PACSIN2	0
chr22	43411027	43411176	15	PACSIN2	0
chr22	43435523	43435902	38	TTLL1	1
chr22	43442416	43442575	16	TTLL1	1
chr22	43447807	43447886	8	TTLL1	1
chr22	43455390	43455529	14	TTLL1	1
chr22	43459819	43459918	10	TTLL1	1
chr22	43460196	43460325	13	TTLL1	1
chr22	43464416	43464595	18	TTLL1	1
chr22	43465610	43465849	24	TTLL1	1
chr22	43466177	43466246	7	TTLL1	1
chr22	43471480	43471589	11	TTLL1	1
chr22	43475908	43475987	8	TTLL1	0
chr22	43485283	43485432	15	TTLL1	0
chr22	43506757	43506806	5	BIK	0
chr22	43520022	43520181	16	BIK	1
chr22	43523703	43523792	9	BIK	1
chr22	43524502	43524631	13	BIK	1
chr22	43525219	43525718	50	BIK	1
chr22	43528212	43529491	128	MCAT	1
chr22	43533087	43533296	21	MCAT	1
chr22	43537168	43537247	8	MCAT	1
chr22	43538932	43539401	47	MCAT	1
chr22	43547535	43547604	7	TSPO	0
chr22	43555216	43555425	21	TSPO	1
chr22	43557058	43557187	13	TSPO	1
chr22	43558809	43559248	44	TSPO	1
chr22	43562628	43564157	153	TTLL12	1
chr22	43564780	43564909	13	TTLL12	1
chr22	43565506	43565565	6	TTLL12	1
chr22	43567825	43567904	8	TTLL12	1
chr22	43568409	43568558	15	TTLL12	1
chr22	43569721	43569830	11	TTLL12	1
chr22	43570215	43570404	19	TTLL12	1
chr22	43570505	43570614	11	TTLL12	1
chr22	43572326	43572395	7	TTLL12	1
chr22	43575625	43575754	13	TTLL12	1
chr22	43575847	43576006	16	TTLL12	1
chr22	43576748	43576937	19	TTLL12	1
chr22	43578986	43579155	17	TTLL12	1
chr22	43582899	43583128	23	TTLL12	1
chr22	43599230	43600149	92	SCUBE1	1
chr22	43603540	43603619	8	SCUBE1	1
chr22	43604078	43604227	15	SCUBE1	1
chr22	43606049	43606238	19	SCUBE1	1
chr22	43606928	43607087	16	SCUBE1	1
chr22	43608431	43608590	16	SCUBE1	1
chr22	43610096	43610255	16	SCUBE1	1
chr22	43614261	43614460	20	SCUBE1	1
chr22	43616456	43616585	13	SCUBE1	1
chr22	43617179	43617288	11	SCUBE1	1
chr22	43618644	43618743	10	SCUBE1	1
chr22	43619103	43619222	12	SCUBE1	1
chr22	43623380	43623499	12	SCUBE1	1
chr22	43625078	43625187	11	SCUBE1	1
chr22	43627759	43627878	12	SCUBE1	1
chr22	43634844	43634953	11	SCUBE1	1
chr22	43654225	43654334	11	SCUBE1	1
chr22	43658726	43658845	12	SCUBE1	1
chr22	43687052	43687181	13	SCUBE1	1
chr22	43715943	43716062	12	SCUBE1	1
chr22	43735110	43735239	13	SCUBE1	1
chr22	43739180	43739349	17	SCUBE1	1
chr22	43808020	43808159	14	MPPED1	0
chr22	43820914	43821213	30	MPPED1	1
chr22	43830954	43831133	18	MPPED1	1
chr22	43870616	43870835	22	MPPED1	1
chr22	43894115	43894224	11	MPPED1	1
chr22	43898524	43898633	11	MPPED1	1
chr22	43901378	43902797	142	MPPED1	1
chr22	43924624	43924853	23	EFCAB6	1
chr22	43926695	43926844	15	EFCAB6	1
chr22	43930568	43930747	18	EFCAB6	1
chr22	43933257	43933416	16	EFCAB6	1
chr22	43936007	43936236	23	EFCAB6	1
chr22	43950749	43950968	22	EFCAB6	1
chr22	43972177	43972366	19	EFCAB6	1
chr22	43976344	43976533	19	EFCAB6	1
chr22	43985954	43986103	15	EFCAB6	1
chr22	43995949	43996138	19	EFCAB6	1
chr22	44004362	44004471	11	EFCAB6	1
chr22	44011706	44011795	9	EFCAB6	1
chr22	44022327	44022556	23	EFCAB6	1
chr22	44027985	44028114	13	EFCAB6	1
chr22	44030982	44031091	11	EFCAB6	1
chr22	44062984	44063143	16	EFCAB6	1
chr22	44064752	44064921	17	EFCAB6	1
chr22	44067853	44068012	16	EFCAB6	1
chr22	44068126	44068185	6	EFCAB6	1
chr22	44073876	44074035	16	EFCAB6	1
chr22	44079627	44079726	10	EFCAB6	1
chr22	44083351	44083460	11	EFCAB6	1
chr22	44107355	44107494	14	EFCAB6	1
chr22	44112728	44112847	12	EFCAB6	1
chr22	44127579	44127688	11	EFCAB6	1
chr22	44131737	44131866	13	EFCAB6	1
chr22	44151646	44151705	6	EFCAB6	1
chr22	44161185	44161264	8	EFCAB6	1
chr22	44168772	44168981	21	EFCAB6	1
chr22	44178060	44178199	14	EFCAB6	1
